variable,crisis,total.poor
poorBeta2018,1,241095317.44108
poorBeta2018,0,480849608.330218
poorGQ2018,1,376596816.003682
poorGQ2018,0,2295632927.68514
poorBeta2020,1,259350728.43807
poorBeta2020,0,438576835.08651
poorGQ2020,1,385167579.196687
poorGQ2020,0,2376200094.34828
poorBeta2020high,1,253568735.95882
poorBeta2020high,0,415890552.400134
poorGQ2020high,1,380893259.384703
poorGQ2020high,0,2394748760.73779
poorBeta2020low,1,265239951.755274
poorBeta2020low,0,462549257.287041
poorGQ2020low,1,389467323.415411
poorGQ2020low,0,2367824854.57518
