year,LIC,LMIC,UMIC,P20,P80
2021,1.9,3.2,5.5,2.947927508,
2020,1.9,3.2,5.5,2.879716786,
2019,1.9,3.2,5.5,2.913124478,
2018,1.9,3.2,5.5,2.877820132,
2015,1.9,3.2,5.5,2.668833214,19.46453494
2013,1.9,3.2,5.5,2.509693168,18.79714975
2012,1.9,3.2,5.5,2.36253841,18.36542926
2011,1.9,3.2,5.5,2.280773976,17.81334964
2010,1.9,3.2,5.5,2.137507976,17.4555425
2008,1.9,3.2,5.5,1.994779514,16.50903858
2005,1.9,3.2,5.5,1.864033559,14.63373787
2002,1.9,3.2,5.5,1.656163277,13.06909598
1999,1.9,3.2,5.5,1.545896909,12.16576588
1996,1.9,3.2,5.5,1.52198961,12.38428434
1993,1.9,3.2,5.5,1.367799117,12.28058921
1990,1.9,3.2,5.5,1.317508704,13.68905054
1987,1.9,3.2,5.5,1.328042461,14.16711393
1984,1.9,3.2,5.5,1.209203445,13.80713219
1981,1.9,3.2,5.5,1.032470513,14.02142538
